20,0.3125,20,0.3825,40,0.1475,40,0.21,40,0.23,40,0.325,40,0.4225,100,0.0925,100,0.1675,100,0.1975,200,0.0725,100,0.4225,100,0.51667,120,0.69,210,0.53,420,0.52,960,0.5,2050,0.44,0,0,10000,0.58,0,0
21,0.2925,21,0.355,42,0.125,42,0.1875,42,0.2075,42,0.2875,42,0.405,105,0.0775,105,0.1375,105,0.1775,210,0.06,105,0.3925,105,0.48667,125,0.68,230,0.52,440,0.49,1020,0.48,2100,0.42,0,0,10200,0.56,0,0
22,0.2775,22,0.3325,44,0.1125,44,0.1525,44,0.19,44,0.265,44,0.3825,110,0.0725,110,0.125,110,0.1625,220,0.05,110,0.3575,110,0.46333,130,0.67,240,0.51,460,0.48,1160,0.46,2200,0.4,0,0,10600,0.54,0,0
23,0.265,23,0.315,46,0.095,46,0.1375,46,0.17,46,0.2175,46,0.355,115,0.06,115,0.1125,115,0.14,230,0.04,115,0.3325,115,0.41667,135,0.62,250,0.47,480,0.47,1220,0.42,2500,0.36,0,0,10800,0.52,0,0
24,0.245,24,0.2975,48,0.08,48,0.115,48,0.1475,48,0.1875,48,0.34,120,0.0475,120,0.0975,120,0.13,240,0.035,120,0.3125,120,0.39333,140,0.6,260,0.43,500,0.46,1280,0.4,2800,0.34,0,0,11000,0.48,0,0
25,0.2375,25,0.275,50,0.07,50,0.1075,50,0.1425,50,0.175,50,0.315,125,0.045,125,0.09,125,0.125,250,0.0325,125,0.29,125,0.37333,145,0.58,270,0.41,520,0.45,1300,0.38,3100,0.32,0,0,11600,0.46,0,0
26,0.2275,26,0.26,52,0.0625,52,0.0925,52,0.13,52,0.145,52,0.29,135,0.04,130,0.075,130,0.11,260,0.03,130,0.265,130,0.35,150,0.55,280,0.36,540,0.4,1320,0.36,3750,0.3,0,0,11800,0.44,0,0
27,0.215,27,0.245,54,0.0475,54,0.0775,54,0.1175,54,0.1225,54,0.2575,140,0.0375,135,0.0675,135,0.1,270,0.025,135,0.235,135,0.34,155,0.54,290,0.35,560,0.38,1360,0.34,4100,0.28,0,0,12200,0.42,0,0
28,0.21,28,0.2375,56,0.045,56,0.065,56,0.1075,56,0.1075,56,0.2425,145,0.0325,140,0.0625,140,0.0775,280,0.02,140,0.2175,140,0.33,160,0.49,300,0.34,580,0.35,1400,0.32,4350,0.26,0,0,14800,0.4,0,0
29,0.1925,29,0.22,58,0.04,58,0.0625,58,0.0975,58,0.1025,58,0.2225,155,0.0275,145,0.0575,145,0.0675,290,0.0175,145,0.205,145,0.31333,175,0.47,310,0.33,600,0.33,1520,0.3,4400,0.24,0,0,18000,0.38,0,0
30,0.1825,30,0.1975,60,0.0375,60,0.0525,60,0.0875,60,0.095,60,0.2025,160,0.025,160,0.05,150,0.06,360,0.0125,150,0.19,150,0.30667,180,0.46,320,0.3,620,0.3,1560,0.28,4650,0.22,0,0,18400,0.36,0,0
31,0.1775,31,0.1775,62,0.0325,62,0.045,62,0.0825,62,0.09,62,0.19,165,0.02,165,0.0475,155,0.0525,400,0.01,155,0.17,155,0.28,185,0.43,330,0.29,640,0.29,1720,0.26,5100,0.2,0,0,19400,0.34,0,0
32,0.1525,32,0.1725,64,0.03,64,0.04,64,0.0775,64,0.0875,64,0.175,185,0.0175,170,0.0425,170,0.0475,430,0.0075,160,0.1625,160,0.26667,190,0.37,340,0.27,660,0.27,2020,0.24,5250,0.18,0,0,20600,0.3,0,0
33,0.15,33,0.165,68,0.0275,66,0.0375,66,0.07,66,0.08,66,0.165,190,0.015,180,0.04,180,0.0425,660,0.005,165,0.145,165,0.24,200,0.36,360,0.26,680,0.26,2080,0.22,5950,0.16,0,0,21200,0.28,0,0
34,0.14,34,0.16,70,0.0225,68,0.035,68,0.0575,68,0.0725,68,0.1525,210,0.0125,185,0.035,185,0.035,1170,0.0025,170,0.135,170,0.22333,205,0.35,370,0.23,700,0.25,2240,0.2,6350,0.14,0,0,22400,0.26,0,0
35,0.1325,35,0.1575,76,0.02,70,0.0325,70,0.055,72,0.07,70,0.1325,220,0.0075,200,0.0325,190,0.0275,0,0,175,0.1225,175,0.20667,215,0.34,380,0.22,780,0.23,2380,0.18,6550,0.12,0,0,26400,0.24,0,0
36,0.1075,36,0.15,82,0.0175,72,0.03,74,0.0525,74,0.0675,74,0.125,240,0.005,205,0.03,205,0.025,0,0,180,0.1125,180,0.19333,220,0.33,400,0.21,860,0.21,2620,0.14,6600,0.1,0,0,30400,0.22,0,0
37,0.1,37,0.1475,96,0.015,84,0.025,76,0.0475,76,0.0575,76,0.1225,350,0.0025,210,0.0275,210,0.0225,0,0,185,0.1075,185,0.18333,225,0.32,420,0.2,880,0.2,2860,0.12,8150,0.08,0,0,31200,0.2,0,0
39,0.095,38,0.1425,106,0.0125,90,0.0225,78,0.0425,78,0.05,78,0.115,0,0,225,0.025,215,0.02,0,0,190,0.1,190,0.17333,235,0.29,440,0.19,900,0.18,3180,0.1,8200,0.06,0,0,31400,0.18,0,0
40,0.0875,39,0.125,108,0.01,92,0.02,80,0.04,80,0.04,80,0.1,0,0,240,0.0225,240,0.015,0,0,195,0.0975,195,0.17,245,0.27,460,0.18,920,0.16,3580,0.08,10550,0.04,0,0,31600,0.16,0,0
42,0.0775,40,0.115,114,0.0075,96,0.015,82,0.035,84,0.0375,82,0.0875,0,0,245,0.02,275,0.0125,0,0,200,0.09,200,0.16333,250,0.26,470,0.17,1020,0.15,3800,0.06,15450,0.02,0,0,32200,0.14,0,0
43,0.0725,41,0.105,116,0.005,100,0.0125,88,0.03,92,0.035,84,0.085,0,0,260,0.0175,295,0.01,0,0,205,0.0825,205,0.15333,255,0.25,500,0.15,1240,0.14,4260,0.04,0,0,0,0,32600,0.12,0,0
44,0.0675,42,0.1,192,0.0025,108,0.01,90,0.025,96,0.03,86,0.08,0,0,270,0.015,310,0.0075,0,0,210,0.075,210,0.13667,260,0.24,510,0.13,1280,0.13,5780,0.02,0,0,0,0,33200,0.1,0,0
45,0.065,43,0.0975,0,0,218,0.0075,94,0.0225,106,0.0275,88,0.075,0,0,275,0.01,415,0.005,0,0,225,0.07,215,0.13333,270,0.23,530,0.12,1320,0.11,0,0,0,0,0,0,34000,0.08,0,0
47,0.0575,44,0.0825,0,0,288,0.0025,98,0.015,114,0.025,90,0.07,0,0,315,0.0075,445,0.0025,0,0,230,0.065,220,0.13,305,0.22,550,0.11,1400,0.09,0,0,0,0,0,0,44400,0.06,0,0
48,0.055,45,0.075,0,0,0,0,100,0.0125,116,0.02,92,0.0575,0,0,330,0.005,0,0,0,0,245,0.06,225,0.11333,320,0.21,650,0.09,1460,0.08,0,0,0,0,0,0,51200,0.04,0,0
49,0.0525,46,0.07,0,0,0,0,106,0.01,118,0.015,94,0.05,0,0,0,0,0,0,0,0,265,0.055,230,0.10667,325,0.2,670,0.08,1480,0.07,0,0,0,0,0,0,52800,0.02,0,0
52,0.05,47,0.065,0,0,0,0,116,0.0075,128,0.0125,96,0.0425,0,0,0,0,0,0,0,0,270,0.0525,235,0.096667,330,0.19,700,0.07,1640,0.06,0,0,0,0,0,0,0,0,0,0
53,0.0475,48,0.0575,0,0,0,0,118,0.005,132,0.01,102,0.0375,0,0,0,0,0,0,0,0,275,0.045,245,0.093333,335,0.18,760,0.06,1680,0.05,0,0,0,0,0,0,0,0,0,0
54,0.0425,49,0.055,0,0,0,0,206,0.0025,136,0.0075,104,0.0325,0,0,0,0,0,0,0,0,290,0.0425,250,0.09,340,0.16,790,0.05,1720,0.04,0,0,0,0,0,0,0,0,0,0
55,0.0375,50,0.0525,0,0,0,0,0,0,140,0.005,108,0.03,0,0,0,0,0,0,0,0,295,0.0375,255,0.086667,360,0.15,800,0.04,3080,0.03,0,0,0,0,0,0,0,0,0,0
57,0.0325,52,0.045,0,0,0,0,0,0,166,0.0025,112,0.0275,0,0,0,0,0,0,0,0,300,0.035,260,0.08,385,0.14,990,0.03,5280,0.02,0,0,0,0,0,0,0,0,0,0
58,0.0275,53,0.0375,0,0,0,0,0,0,0,0,118,0.025,0,0,0,0,0,0,0,0,310,0.0325,275,0.073333,400,0.13,1650,0.02,6260,0.01,0,0,0,0,0,0,0,0,0,0
61,0.025,54,0.035,0,0,0,0,0,0,0,0,122,0.0225,0,0,0,0,0,0,0,0,325,0.0275,280,0.056667,405,0.12,1920,0.01,0,0,0,0,0,0,0,0,0,0,0,0
63,0.0225,55,0.0325,0,0,0,0,0,0,0,0,124,0.02,0,0,0,0,0,0,0,0,340,0.025,290,0.053333,420,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.02,56,0.025,0,0,0,0,0,0,0,0,130,0.0175,0,0,0,0,0,0,0,0,345,0.02,310,0.046667,450,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
